id,Balkón / loggia,Cena,Identifikačné číslo:,Kategória,Pivnica,Ulica,Úžitková plocha,Výťah,Lokalita,Poschodie,Stav nehnuteľnosti:,Materiál,Stav,Zastavaná plocha
1887748,Nie,cena dohodou,14.8.2017 11:55:16,Nie,Nie,Petržalka,170411,33 m2,NA,NA,NA,NA,NA,NA
1887750,Nie,cena dohodou,14.8.2017 11:55:16,Nie,Nie,Petržalka,170412,65 m2,NA,NA,NA,NA,NA,NA
2036189,Nie,"120 000,00 EUR",163425,4 izbový byt / Predaj,Nie,Petržalka,80 m2,Nie,Petržalka,NA,NA,NA,NA,NA
2045103,Áno,"115 000,00 EUR",29998001636,3 izbový byt / Predaj,Nie,Píniová,80 m2,Nie,Vrakuňa,1 / 4,Novostavba,NA,NA,NA
2125237,Áno,"205 000,00 EUR",NA,2 izbový byt / Predaj,Áno,Mýtna 44,70 m2,Áno,Staré Mesto,3 / 6,Novostavba,tehla,NA,NA
2125633,Áno,"334 017,00 EUR",NA,4 izbový byt / Predaj,Áno,Radlinského 45,111 m2,Áno,Staré Mesto,2 / 6,Novostavba,tehla,NA,NA
2174952,us000047,"119 000,00 EUR/mesiac","22 312,44 EUR/rok/m2",Nie,64 m2,NA,Staré Mesto,6.7.2016 11:36:24,"1 859,37 EUR/mesiac/m2",NA,NA,NA,NA,NA
2244637,Áno,"245 000,00 EUR",312,3 izbový byt / Predaj,Nie,Mickiewiczova,102 m2,Áno,Staré Mesto,4 / 5,Novostavba,tehla,NA,NA
2342018,Nie,"400 000,00 EUR",493,3 izbový byt / Predaj,Nie,Živnostenská,127 m2,Nie,Staré Mesto,5 / 6,NA,tehla,kompletná rekonštrukcia,NA
2461786,Áno,"330 000,00 EUR",NA,4 izbový byt / Predaj,Nie,SLNEČNICE- Južné mesto,96 m2,Áno,Petržalka,5 / 5,Novostavba,NA,NA,NA
258066,Nie,cena dohodou,NA,Nie,Nie,Staré záhrady,12.8.2017 08:17:45,180 m2,NA,NA,NA,NA,NA,NA
2611931,Nie,"310 000,00 EUR",NA,2 izbový byt / Predaj,Nie,Klobučnícka,98 m2,Nie,Staré Mesto,2 / 3,NA,tehla,kompletná rekonštrukcia,NA
3014699,Nie,cena dohodou,9.8.2017 10:56:03,Áno,Nie,Hradská,133,29 m2,NA,NA,NA,NA,NA,NA
3014700,Nie,cena dohodou,9.8.2017 10:56:03,Áno,Áno,Hradská,134,37 m2,NA,NA,NA,NA,NA,NA
3085166,Áno,cena dohodou,17.6.2017 11:44:38,tehla,Áno,Pekná cesta,Novostavba,129 m2,NA,NA,70,Nie,NA,NA
3085167,Áno,cena dohodou,17.6.2017 11:44:38,tehla,Áno,Pekná cesta,129 m2,129 m2,NA,NA,69,Nie,NA,Novostavba
3105717,Nie,"69 000,00 EUR",26,1 izbový byt / Predaj,Áno,Latorická,36 m2,Nie,Podunajské Biskupice,1 / 4,NA,panel,kompletná rekonštrukcia,NA
3117116,Nie,"63 600,00 EUR",28,1 izbový byt / Predaj,Áno,Čiližská,43 m2,Áno,Vrakuňa,3 / 5,NA,panel,kompletná rekonštrukcia,NA
3119470,Nie,"289 000,00 EUR",88,3 izbový byt / Predaj,Áno,Cesta na Kamzík,175 m2,Áno,"Nové Mesto, časť Koliba",1 / 5,Novostavba,tehla,NA,NA
3179462,Nie,cena dohodou,3.8.2017 10:47:10,pôvodný,Nie,Sládkovičova,660110,0 / 2,NA,120 m2,NA,Nie,tehla,NA
3374977,Nie,"230 000,00 EUR",1588,4 izbový byt / Predaj,Nie,Špitálska,100 m2,Nie,Staré Mesto,NA,Novostavba,tehla,NA,NA
3429458,Nie,"349 900,00 EUR",1710,3 izbový byt / Predaj,Nie,NA,1 m2,Nie,Dúbravka,NA,Novostavba,NA,NA,NA
3476515,Áno,"152 822,00 EUR",NA,1 izbový byt / Predaj,Áno,Mýtna 44,47 m2,Áno,Staré Mesto,5 / 6,NA,tehla,NA,NA
3510165,Nie,"160 000,00 EUR",660329,4 izbový byt / Predaj,Nie,NA,137 m2,NA,Vrakuňa,2 / 2,Novostavba,NA,NA,NA
3522793,Nie,"250 000,00 EUR",1986,3 izbový byt / Predaj,Nie,Tupého,100 m2,Áno,Nové Mesto,NA,NA,NA,NA,NA
3586218,Áno,"259 900,00 EUR",BA10318,3 izbový byt / Predaj,Nie,Mickiewiczova,102 m2,NA,Staré Mesto,4 / 6,Novostavba,tehla,NA,NA
3588538,Áno,"259 900,00 EUR",BA10319,3 izbový byt / Predaj,Nie,Mickiewiczova,101 m2,NA,Staré Mesto,2 / 6,Novostavba,tehla,NA,NA
3588545,Áno,"299 900,00 EUR",BA10273,4 izbový byt / Predaj,Nie,Mickiewiczova,106 m2,NA,Staré Mesto,2 / 6,Novostavba,tehla,NA,NA
3631375,130 m2,cena dohodou,9.8.2017 10:56:03,Nie,Nie,Šoltésovej,190,NA,NA,NA,NA,NA,NA,NA
3663004,Nie,"142 000,00 EUR",35201,3 izbový byt / Predaj,Nie,Továrenská,64 m2,Nie,Staré Mesto,NA,NA,NA,NA,NA
3663228,Nie,"112 900,00 EUR",48308,2 izbový byt / Predaj,Nie,Poľnohospodárska,79 m2,Nie,Vrakuňa,0 / 5,Novostavba,NA,NA,NA
3663229,Nie,"91 000,00 EUR",48325,2 izbový byt / Predaj,Nie,Poľnohospodárska,61 m2,Nie,Vrakuňa,0 / 5,Novostavba,tehla,NA,NA
3663481,Nie,"148 000,00 EUR",51235,4 izbový byt / Predaj,Áno,Bošániho,74 m2,Áno,Dúbravka,0 / 8,NA,panel,kompletná rekonštrukcia,74 m2
3674748,Áno,"116 000,00 EUR",217,2 izbový byt / Predaj,Nie,Súmračná,44 m2,Áno,Ružinov,NA,NA,NA,čiastočná rekonštrukcia,NA
3695247,Nie,"137 000,00 EUR",29998008166,2 izbový byt / Predaj,Nie,Vyšehradská,73 m2,NA,Petržalka,NA,NA,NA,NA,NA
3739824,Áno,"259 990,00 EUR",29998008440,3 izbový byt / Predaj,Áno,Špitálska,78 m2,Áno,Staré Mesto,2 / 6,NA,NA,čiastočná rekonštrukcia,NA
3755179,Áno,"380 750,40 EUR",MOC-309,3 izbový byt / Predaj,Nie,Skalná,106 m2,Áno,Staré Mesto,2 / 5,Novostavba,tehla,NA,NA
3759865,Áno,"174 300,00 EUR",HOF-9,2 izbový byt / Predaj,Áno,Trhová,89 m2,Nie,Dúbravka,8 / 8,NA,NA,NA,NA
3762232,Áno,"260 000,00 EUR",1004,3 izbový byt / Predaj,Nie,Mickiewiczova,101 m2,Áno,Staré Mesto,2 / 6,Novostavba,tehla,NA,NA
3763208,Áno,"260 000,00 EUR",1005,3 izbový byt / Predaj,Nie,Mickiewiczova,102 m2,Áno,Staré Mesto,4 / 6,Novostavba,tehla,NA,NA
3767588,Áno,cena dohodou,NA,tehla,Nie,Koliba,Novostavba,3 / 0,NA,198 m2,11.11.2013 10:20:22,Nie,NA,NA
3812004,Áno,"165 000,00 EUR",2481,2 izbový byt / Predaj,Nie,Tomášikova,76 m2,Áno,Ružinov,5 / 6,Novostavba,tehla,NA,NA
3812005,Nie,"275 000,00 EUR",2477,3 izbový byt / Predaj,Nie,Mickiewiczova,107 m2,NA,Staré Mesto,2 / 6,Novostavba,tehla,NA,NA
3812006,Nie,"275 000,00 EUR",2476,3 izbový byt / Predaj,Nie,Mickiewiczova,107 m2,Áno,Staré Mesto,4 / 6,Novostavba,tehla,NA,NA
3812007,Nie,"165 000,00 EUR",2480,2 izbový byt / Predaj,Nie,Tomášikova,76 m2,Áno,Ružinov,2 / 6,Novostavba,tehla,NA,NA
3833078,Áno,"134 000,00 EUR",NA,2 izbový byt / Predaj,Áno,NA,73 m2,Áno,Rača,1 / 7,NA,panel,kompletná rekonštrukcia,NA
3833079,Áno,"134 000,00 EUR",NA,3 izbový byt / Predaj,Áno,NA,73 m2,Áno,"Rača, časť Rača",1 / 7,NA,panel,kompletná rekonštrukcia,NA
3892359,Nie,"310 000,00 EUR",1267,4 izbový byt / Predaj,Nie,Mickiewiczova,106 m2,Áno,Staré Mesto,2 / 6,Novostavba,tehla,NA,NA
3927559,Áno,"275 000,00 EUR",175645,3 izbový byt / Predaj,Nie,NA,122 m2,Áno,Nové Mesto,NA,Novostavba,tehla,NA,NA
3927571,Áno,"255 000,00 EUR",175646,4 izbový byt / Predaj,Nie,Vinohrady,108 m2,Áno,Nové Mesto,NA,Novostavba,tehla,NA,NA
3949771,Áno,"360 000,00 EUR",NA,4 izbový byt / Predaj,Áno,Paulínyho,137 m2,Áno,Staré Mesto,3 / 5,NA,tehla,pôvodný,NA
